###########################################################################
#Copyright 1999 The Internet Dictionary Project/Tyler Chambers
#http://www.june29.com/IDP/
#This file is free to use and modify.  Thank you for using the IDP.
#
#Approximately 5048 entries.  9/21/97
#Approximately 5488 entries.  1/7/98
#Approximately 5910 entries.  3/8/98
#Approximately 7450 entries.  2/19/99
###########################################################################
a	un, uno, una[Article]
impossible	imposible
impressive	impresionante[Adjective]
in agreement	de acuerdo
inborn	innato(a)[Adjective]
incalculable	incalculable
incalculably	incalculable[Adjective]
incant	Encantar[Verb]
incantation	Encantación
incantations	Encantaciones
incanted	Encantado(a)
incapable	incapaz
incapacitate	Incapacitar[Verb]
incapacitated	incapacitado[Adjective]
incapacitates	Incapacíta
incapacity	incapacidad[Adjective]
incarcerate	encarcelar[Verb]
incarcerated	encarcelado
incarcerates	encarcéla
incarcerating	encarcelando
incarceration	encarcelación
incarnate	encarnar[Verb]
incarnation	renacer
incarnations	renacimientos
incaution	descuido[Verb]
incautious	descuidado(a)
incautiously	descuidadamente
incautiousness	descuidado(a)[Adjective]
incendiaries	incendiarios(as)[Adjective]
incendiary	incendiario(a)[Adjective]
incense	incienso[Noun]
incensed	inciensado(a)
incenses	inciensa[Verb]
incensing	inciensando[Verb]
incentive	incentivo[Noun]
incentives	incentivos
incertitude	incierto[Adjective]
incessant	incesante[Adjective]
incessantly	incesantemente[Adjective]
incest	incesto[Noun]
incestuous	incestuoso(a)[Adjective]
incestuously	incestuosamente[Adjective]
incestuousness	incestuosidad[Adjective]
inch	pulgada[Noun]
inches	pulgadas[Noun]
inching	despacio[Adverb]
inchworm	gusano medidor[Noun]
inchworms	gusanos medidores[Noun]
incidence	incidencia[Noun]
incidences	incidencias[Noun]
incident	incidente[Noun]
incidental	incidental[Adjective]
incidentally	incidentalmente[Adjective]
incidentals	a music notacion symbol
incidents	incidentes[Noun]
incinerate	incinerar[Verb]
incinerated	incinerado[Adjective]
incinerates	incinera[Verb]
incinerating	incinerando[Verb]
incineration	incineración[Adverb]
incinerations	incineraciones[Adverb]
incinerator	incinerador[Noun]
incinerators	incineradores[Noun]
incise	inciso[Noun]
incises	incisos[Noun]
incision	incisión[Noun]
incisions	incisiones[Noun]
incisor	incisor[Noun]
incitant	incitante[Adjective]
incitants	incitantes[Adjective]
incitation	incitación[Noun]
incitations	incitaciones[Noun]
incite	incitar[Verb]
incited	incitdo(a)[Adjective]
incitement	incitamiento[Noun]
incitements	incitamientos[Noun]
inciter	incitar[Verb]
incites	incita[Verb]
inciting	incitante[Adjective]
inclemency	inclemencia[Noun]
inclement	inclemente[Adjective]
inclemently	inclementemente[Adjective]
inclinable	inclinable[Adjective]
inclination	inclinación[Noun]
inclinations	inclinaciones[Noun]
incline	inclinar[Verb]
increase	aumentar
informant	informante
information	informacion
ink	la tinta
innocence	la inocencia[Noun]
innocent	inocente[Adjective]
innocent	el inocente[Noun]
inoffensive	inofensivo, inofensiva[Adjective]
insect	el insecto
inside	dentro
insult	el insulto
insult	insultar
intelligent	inteligente
interesting	interesante
intern	interno(a)[Adjective]
internal	interno(a)[Noun]
internality	internalidad[Adjective]
internalization	internalización[Noun]
internalize	internalizar[Verb]
internalized	internalizado[Adjective]
internalizes	internaliza[Verb]
internalizing	internalizando[Verb]
internally	internamente[Adjective]
internals	internos(as)[Adjective]
international	internacional[Adjective]
internationalism	internacionalismo[Noun]
internationalist	internacionalista[Adjective]
internationalists	internacionalistas[Adjective]
internationality	internacionalidad[Adjective]
internationalization	internaciionalización[Noun]
internationalize	internacionalizar[Verb]
internationalized	internacionalizado(a)[Adjective]
internationalizes	internacionaliza[Verb]
internationally	internacionalmente[Adjective]
internationals	internacionales[Adjective]
internetwork	trabajo en la RIM (Red Mundial Interna)[Noun]
internetwork	Internet=RedMundial
internetwork	Connección interna de comunicación
interneuron	neuron interno[Noun]
interneuronal	interneuronal[Adjective]
interning	internando[Verb]
intervention	intervencio/n[Noun]
interview	la entrevista
interweave	entretejer[Verb]
intimacy	intimidad[Noun]
intimate	i/ntimo[Adjective]
intimidate	intimidar[Verb]
introduction	introducción[Noun]
introductions	introducciones
invite	invitar
iron	el hierro
iron	planchar
island	la isla
Italy	Italia
j	j
jab	pinchazo
jabber	algarabía
jack	gato, para sujetar el coche cuando se cambia una rueda[Noun]
jack	jota
jack	clavija, para conectar algun aparto elctrotecnico [Noun]
jack	[off] masturbarse[Verb]
jackal	chacal[Noun]
jackals	chacales
jackass	burro[Noun]
jackboot	bota de montar, bota militar[Noun]
jackdaw	grajilla, grajo
jacket	la chaqueta
jackhammer	taladradora, martillo picador
jackknife	navaja
jackpot	bote, premio máximo[Noun]
jackpot	premio máximo
jade	jade
jag	punta, puá[Noun]
jag	raja
jagged	dentado, mellado, disigual[Adjective]
jail	jaula[Noun]
janitor	el conserje
January	enero
jar	la jarra
jealous	celoso
jeans	vaqueros[Noun]
jewel	la joya
jewels	las joyas
job	trabajo[Noun]
joke	la broma
judge	el juez
juice	el jugo
juice	joco[Verb]
July	julio
jump	saltar
June	junio
jungle	la selva
kaleidoscope	caleidoscopio
kangaroo	canguro[Noun]
kangaroos	canguros[Noun]
karat	kilate
karate	karate
karateist	karateca
karma	carma
kayak	kayak[Noun]
keel	quilla[Noun]
keep	guardar
keep	keep
keep	manutención, subsistencia
keeper	Guardián, custodio
keeping	custodia, cuidado
key	la llave
key	llave
keyboard	tecla[Noun]
keys	llaves
kick	cocear
kidnap	seguestar
kill	matar
killed	matado[Adjective]
killer	asasino[Noun]
killers	asasinos
kilo	kilo
kilobit	kilobit
kilometer	kilómetro[Noun]
kilometers	kilómetros
kindness	la bondad
king	el rey
kingdom	reino[Noun]
kingdoms	reinos[Noun]
kings	reyes
kiosk	kiosko
kiss	besar
kisses	besos[Noun]
kitchen	la cocina
kitten	el gatito
knee	la rodilla
kneel	arrodillarse[Verb]
knees	rodillas
knew	sabia, supo[Verb]
knife	el cuchillo
knife	la navaja
knight	caballero
knights	caballeros[Noun]
knock	tocar
knockdown	tumbar
know	saber[Verb]
knowledge	conocimiento[Noun]
known	conocido[Adjective]
kooks	üppou
label	el marbete
label	etiqueta
labeled	etiquetado
labeling	marcando
labelled	etiquetado
labels	etiquetas
labia	labia[Noun]
labial	labial
labial	labial[Adjective]
labialization	labializacion[Noun]
labile	la/bil
labiodental	labiodental[Adjective]
labium	labio[Noun]
labor	trabajo
labor	la obra[Noun]
labor	el labor[Noun]
labor	laborar[Verb]
labor	Parto (childbirth)[Noun]
laborable	laborable
laboratories	laboratorios
laboratory	laboratorio
labored	trabajado
laborer	obrero[Noun]
laborer	el trabajador[Noun]
laborer	jornalero[Noun]
laborers	obreros[Noun]
laborers	los trabajadores[Noun]
laborers	jornaleros[Noun]
laboring	trabajando[Verb]
laboring	laborando[Verb]
laborious	laborioso
laborious	tabajoso[Adjective]
laboriously	laboriosamente
laborist	el laborista[Noun]
laborists	los laboristas[Noun]
laborite	laborista[Noun]
laborites	laboristas[Noun]
labors	las obras[Noun]
laborsaving	Que ahorra trabajo[Adjective]
labradorite	labradorita[Noun]
labs	los laboratorios[Noun]
labyrinth	laberinto
labyrinths	laberintos
lac	laca
lace	el encaje
lace	encaje, lazo
lace	la cinta[Noun]
lacerate	lacerar[Verb]
lacerated	lacerado[Adjective]
lacerates	lacera[Verb]
lacerating	lacerando[Verb]
laceration	laceracion[Noun]
lacerations	laceraciones[Noun]
laces	cintas[Noun]
lacework	encajes[Noun]
lachrymal	lagrimal
lachrymal	lacrimal[Adjective]
lachrymator	lacrimogeno[Noun]
lachrymose	lloron, llorona[Adjective]
lachrymose	lloroso[Adjective]
lack	falta, carencia
lack	escasez[Noun]
lackadaisical	apatico[Adjective]
lackadaisically	apaticamente[Adverb]
lacked	faltaba[Verb]
lackey	lacayo (sirviente)[Noun]
lackeys	lacayos (sirvientes)[Noun]
lacking	faltar (something is lacking/algo falta)[Verb]
lackluster	sin brillo[Adjective]
lacks	le falta[Verb]
laconic	lacónico[Adjective]
laconism	laconismo[Noun]
laconisms	laconismos[Noun]
laconize	lacónizar[Verb]
laconized	laónizados[Adjective]
lacquer	laca
lacquer	pintar con laca[Verb]
lactase	lactasa
lactate	lactato
lactate	lactar[Verb]
lactic	láctico[Adjective]
lacuna	laguna[Noun]
lacunae	lagunas[Noun]
lacunar	lagunar[Noun]
lad	muchacho
lad	chico[Noun]
ladder	escalera
ladder	escala[Noun]
ladders	las escaleras[Noun]
ladders	escalas[Noun]
lade	cargar (to load in shipping)[Verb]
laded	cargado
laden	cargado[Adjective]
ladies	damas
ladle	cucharon[Noun]
ladles	cuchorones[Noun]
ladling	sirviendo con cucharones[Verb]
lads	muchachos
lads	chicos[Noun]
lady	dama
ladybird	mariquita[Noun]
ladybirds	mariquitas[Noun]
ladybug	catarina
ladybug	mariquita[Noun]
ladybugs	catarinas
ladybugs	mariquitas[Noun]
ladyfinger	lengua de gato (biscuit)
ladylike	fina, distinguida[Adjective]
ladylike	afeminado[Adjective]
ladylove	amada[Noun]
ladyship	se~noria[Noun]
lag	atrasarse
lager	cerveza dorada[Noun]
lagers	cervezas doradas[Noun]
laggard	rezagado[Adjective]
laggardly	rezagadamente[Adverb]
lagged	retrasado
lagger	vago, vaga[Noun]
lagomorph	lagomorfo
lagoon	laguna
lagoons	lagunas[Noun]
laic	laico, laica[Adjective]
laicism	laicismo[Noun]
laicization	laicizacion[Noun]
laicizations	laicizaciones[Noun]
laicize	dar caracter laico
laicized	dio caracter laico
laicizes	da caracter laico
laid	recostado
laid	colocado[Adjective]
laid	acostado[Adjective]
lair	la guarida[Noun]
laird	terrateniente[Noun]
laity	seglares[Noun]
lake	el lago
lake	lago
lakefront	en la orilla del lago[Adjective]
lakes	lagos[Noun]
lakeshore	la orilla del lago[Noun]
lam	huida[Noun]
lama	lama (monje)
lamas	lamas 
lamb	cordero, borrego, oveja
lamb	el cordero
lamp	la la/mpara[Noun]
lance	lanza[Noun]
lance	lanzar[Verb]
lances	lanzas[Noun]
land	la tierra[Noun]
landlady	la duen~a[Noun]
landlord	el duen~o[Noun]
landlords	los duen~os[Noun]
language	la lengua
language	el idioma[Noun]
language	el lenguaje[Noun]
languages	las lenguas[Noun]
lantern	la la/mpara[Noun]
lanterns	las la/mparas[Noun]
lapel	la solapa[Noun]
lapels	las solapas[Noun]
large	grande[Adjective]
lass	la muchacha
lasses	las muchachas
last	ultimo
last	u/ltimo[Adjective]
last	durar[Verb]
late	tarde
laud	loor[Noun]
laudable	digno de loor[Adjective]
laugh	reir
laugh	reirse[Verb]
laughing	riendo
laughter	la risa[Noun]
launder	lavar (ropa)[Verb]
laundress	la lavadera[Noun]
laundry	(laundromat) la lavanderi/a[Noun]
laundryman	el lavadero[Noun]
laurel	el laurel[Noun]
lavatory	el lavato/rio[Noun]
lavatory	el ban~o[Noun]
law	la ley
law	la suegra
lawless	sin ley[Adjective]
lawn	el prado
lawn	el cesped[Noun]
laws	las leyes[Noun]
lawyer	el abogado
lawyers	los abogados[Noun]
lazy	perezoso
lazy	guapo[Adjective]
lead	el plomo
leader	el li/der[Noun]
leaf	la hoja
leaflet	el librito
leaflets	los libritos
leap	saltar[Verb]
leap	el salto[Noun]
learn	aprender
leash	correa[Noun]
leather	el cuero
leathern	de cuero[Adjective]
leave	salir
leaves	las hojas[Verb]
lecturer	conferensista[Noun]
ledge	borde, anaquel[Noun]
ledger	travesaño, andamio[Noun]
lee	sotavento[Noun]
leech	sanguijuela[Noun]
left	izquierdo
lefties	surdos, surdas[Noun]
lefty	surdo, surda[Noun]
leg	la pierna
legal	legal[Adjective]
legalist	el legalista[Noun]
legalize	legalizar[Verb]
legend	la leyenda[Noun]
legends	las leyendas[Noun]
legs	las piernas
leisure	el ocio
lemon	el limo/n[Noun]
lemonade	limonada[Noun]
lemons	limones[Noun]
lend	prestar
lenses	lentes[Noun]
lesbianism	el lesbianismo
lesbians	las lesbianas
less	menos
lesson	la leccio/n[Noun]
letter	a
letter	baum
letter	borkenkäfer
letter	hasan
letter	hello
letter	jerk
letter	la carta
letter	latin
letter	lifeguard
letter	malayalam
letter	r
letter	restoration
letter	s
letter	society[]
letter	the
letter	typewriter[]
letter	(of the alphabet) la letra[Noun]
lettuce	la lechuga
level	el nivel[Noun]
levels	los niveles[Noun]
liable	responsable[Adjective]
liar	el mentiroso
liberalism	el liberalismo[Noun]
liberate	liberar[Verb]
liberation	la liberacio/n[Noun]
liberator	el libertador[Noun]
liberty	la libertad[Noun]
libraries	las bibliotecas[Noun]
library	la biblioteca
lice	los piojos[Noun]
license	la licencia[Noun]
lick	lamer
lid	la tapa
lie	mentir
lie	yacer[Verb]
life	la vida
lift	alzar
ligament	el ligamento[Noun]
light	la luz
lightbulb	la bombilla
lightening	la la/mpara[Noun]
lightening	el rela/mpago[Noun]
lightning	el rela/mpago[Noun]
like	gustar
like	como[Adverb]
lime	la lima
lime	uni
limes	las limas[Noun]
limit	limitar[Verb]
limit	el li/mite[Noun]
limitation	la limitacio/n[Noun]
limitations	las limitaciones[Noun]
limited	limitado, limitada[Adjective]
limitless	sin li/mites[Adjective]
linoleic	linoleico[Noun]
linoleum	linóleo[Noun]
lion	león[Verb]
lip	el labio
lipid	lípido[Noun]
lipidic	lipídico[Adjective]
lipids	lípidos[Noun]
lips	los labios
liquor	el licor
list	la lista
listen	escuchar
literally	woertlich
literature	la literatura
little	chico[Adjective]
little	pequen~o[Adjective]
little	poco[Adjective]
littler	menor
littlest	menor
live	directo[Adjective]
live	vivir
lived	vivido
liver	hi/gado[Noun]
liver	hi/gados[Noun]
living room	la sala
lizard	lagarto[Noun]
load	la carga[Noun]
loads	las cargas[Noun]
loaf	holgazanear[Verb]
loan	el pre/stamo[Noun]
loathe	aborrecer[Noun]
lobby	el vesti/bulo[Noun]
lobe	el lo/bulo[Noun]
lobster	la langosta
lobsters	las langostas[Noun]
local	local[Adjective]
locals	los vecinos[Noun]
locate	localizar[Verb]
location	la situacio/n[Noun]
loch	el lago[Noun]
lock	la cerradura
lock	la esclusa[Noun]
locker	el casillero[Noun]
lockers	los casilleros[Noun]
locket	el medallo/n[Noun]
lockout	el lockout[Noun]
locksmith	el cerrajero[Noun]
locomotive	la locomotora[Noun]
locust	la langosta[Noun]
locusts	las langostas[Noun]
lodge	la casa del guarda[Noun]
loft	el desva/n[Noun]
lofty	alto[Adjective]
log	el len~o
logbook	el diario de a bordo[Noun]
logic	la lo/gica[Noun]
logical	lo/gico
logo	el logotipo
loin	el lomo[Noun]
loins	los lomos[Noun]
loiter	vagar[Verb]
loll	rapantigarse[Verb]
lollipop	el piruli/[Noun]
lone	solitario[Adjective]
loneliness	la soledad[Noun]
lonely	solitario[Adjective]
long	largo
longitude	la longitud
look	apariencia[Noun]
look	mirar[Verb]
look	ver[Verb]
look at	mirar
look for	buscar
looking	mirando
looking	viendo[Verb]
loom	telar[Verb]
loose	flojo[Adjective]
loose	suelto
looser	sueltos[Adjective]
lose	perder
lost	perdido
loud	ruidoso
love	amar
love	amor[Noun]
love	encantar[Verb]
love	encanta[Verb]
love	love
lovely	adorable[Adjective]
lover	amante[Noun]
low	bajo[Adjective]
lubric	lúbrico[Adjective]
lubricant	lubricante[Adjective]
lubricants	lubricantes[Adjective]
lubricate	lubricar[Verb]
lubricated	lubricado[Adjective]
lubricates	lubrica[Verb]
lubricous	lúbrico[Adjective]
lucidity	lucidez[Noun]
lucidly	lu/cidamente[Adverb]
luck	la suerte
luck	suerte
luckily	afortunadamente[Adverb]
luckiness	suerte[Noun]
lucrative	lucrativo[Adjective]
lucratively	lucrativamente[Adverb]
lucre	lucro[Noun]
lucubrate	lucubrar[Verb]
lucubration	lucubracio/n[Noun]
lukewarm	tibio
lunch	almorzar (v)
lunch	almuerzo (n)
lunch	el almuerzo
luxury	el lujo
ma	mama/[Noun]
ma'am	s.  Contradiccion de madam,senora.
ma'am	sen~ora[Noun]
macabre	a. Macabro[Adjective]
macabre	macabro
macabrely	de manera macabra
macadam	s. Piedras trituradas para macadamisar; calzada empedrada con ellas.
macadamize	macadamizar[Verb]
macadamized	alquitranado[Adjective]
macaque	macaco[Noun]
macarize	macarron[Verb]
macarized	macarronismo[Noun]
macarizes	macarrona[Verb]
macarizing	macarronico, ca[Adjective]
macaroni	macarrones
macaronic	macarronico
macaronically	macarronicamente[Adverb]
macaronies	macarrones[Noun]
macaroon	macarrón
macaw	lapa
macaws	lapas
mace	mazo[Noun]
macerate	macerar
macerated	macerado
macerates	macera
macerating	macerando
maceration	maceracio/n
macerations	maceraciones
macerator	macerador
macerators	maceradores
maces	mazas[Noun]
machete	machete
machinability	maquinabilidad[]
machinable	maquinable
machinate	maquinar
machinated	maquinado
machinates	maquina
machinating	maquinando
machination	maquinación[]
machination	maquinacio/n
machinator	maquinador
machine	m'aquina
machine	ma/quina
machine	máquina[]
machineable	maquinable
machined	maquinado
machinelike	como maquina
machinelike	parecido a una ma/quina
machineries	maquinarias
machinery	maquinaria
machines	m'aquinas
machines	ma/quinas
machines	máquinas[]
machining	maquinando[Verb]
machinist	maquinista
machinists	maquinistas
machismo	machismo
macho	macho
macintosh	macintosh
mackerel	caballa
mackerels	caballas
mackintosh	mackintosh[Noun]
macro	macro
macroaggregate	macroagregar[Verb]
macroaggregated	macroagregado[Adjective]
macrobiotic	macrobiotico
macrocephalic	macroencefalico
macrocephalous	macrocefalo[Adjective]
macrocephaly	macrocefalia[Noun]
macrocosm	macrocosmo
macrocosmic	macrocosmico
macrocosmically	macrocosmicamente
macrodynamic	macrodinamica
macroeconomic	macroeconomico
macroeconomics	macroeconomia
macroevolution	macroevolucion[Noun]
macrofossil	macrofosil[Noun]
macroinstruction	macroinstrucción[Noun]
macromolecular	macromolecular[Adjective]
macromolecule	macromolecula[Noun]
macromolecules	macromoleculas[Noun]
macronucleus	macronucleo[Noun]
macronutrient	macronutriente[Noun]
macropathological	macropatológico[Adjective]
macropathology	macropatología[Noun]
macrophage	macrófago[Adjective]
macroprocessor	macroprocesador[Noun]
macrosocioeconomic	macrosocioeconómico[Noun]
macrostructural	macroestructural
macrostructure	macroestructura
maculate	manchar[Verb]
maculated	manchado,sucio
mad	loco,chiflado,majara,majareta[Adjective]
mad	enojado
madam	dama[Noun]
madams	damas[Noun]
madcap	calavera; botarate; temerario[Noun]
madder	m/as enfadado[Adjective]
maddest	lo m/as enfadado[Adjective]
made	hecho[Adjective]
mademoiselle	señorita[Noun]
mademoiselles	señoritas[Noun]
madhouse	manicomio[Noun]
madly	locamente[Adjective]
madman	loco[Noun]
madmen	locos[Noun]
madness	locura, chifladura[Adjective]
madwoman	mujer loca[Noun]
maestro	arista eminent en cualquiere de las bellas artes[Noun]
mafioso	niembre de la mafia[Noun]
magazine	la revista
magazine	(military)cargador,peine.Almacén[Noun]
magazine	(military)cargador,peine.[Noun]
magazine	una revista
magazine	What happened? I just wanted to erase "Almacén"![Conjunction]
magazines	las revistas[Noun]
magenta	rojo purpureo; solferino[Adjective]
maggot	cresa; gusano; larva[Noun]
maggoty	caprichoso; quimerico[Adverb]
magi	los Reyes Magos; sacredotes de la relig. zoroastrica[Noun]
magic	magia[Noun]
magic	ma/gico
magical	ma/gico
magically	mágicamente[Adjective]
magician	mago
magicians	magos
magisterial	authoritario; dominante; pomposo
magisterially	magistralmente
magisterium	magistreio o autoriad delo
magistracy	jurisdiccion de magistrado
magistral	magistral[Noun]
magistrally	magistralmente[Adjective]
magistrate	magistrado
magistrates	magistrados[Noun]
magistrature	magistratura[Noun]
magma	magma
magma	lava volcanica[Noun]
magnanimity	magnanimosidad[Noun]
magnanimous	magnánimo[Adjective]
magnanimously	magnanimosamente[Adjective]
magnate	potentado
magnesia	magnesio(a)
magnesium	magnesio[Noun]
magnet	ima/n
magnetic	magne/tico
magnetically	magneticamente[Adjective]
magnetism	magnetismo[Noun]
magnetisms	magnetismo[Noun]
magnific	magnífico[Adjective]
magnifically	magníficamente[Adjective]
magnificence	magnificencia[Noun]
magniloquence	magnilocuencia[Noun]
magniloquent	magnilocuente[Adjective]
magniloquently	magnilocuentemente[Adjective]
magnitude	magnitud[Noun]
magnitudes	magnitudes[Noun]
magnolia	magnolia[Noun]
magnolias	magnolias[Noun]
maid	la criada
maiden	soltera[Noun]
maidenhood	solteri/a[Noun]
mail	el correo
mailbox	apartado postal
mailbox	buzo/n
mailboxes	buzones
mailman	el cartero
mainly	principalmente
make	hacer
mal	bad[Adjective]
malignant	maligno[Adjective]
malleability	maleabilidad
mallet	mazo[Noun]
malnutrition	desnutricio/n[Noun]
mammals	mami/feros[Noun]
mammary	mamaria
mammography	mamografi/a[Noun]
man	el hombre
man	hombre
man	vero/n[Noun]
management	gerencia[Noun]
manager	el gerente
managerially	gerencialmente[Adverb]
managers	gerentes[Noun]
mancipation	emancipacio/n[Noun]
maneuverer	maniobrador
maneuvers	maniobras
many	muchos
map	el mapa
March	marzo
market	el mercado
married	casado
marry	casarse
mask	ma/scara[Noun]
May	mayo
mayonnaise	la mayonesa
meal	la comida
meals	las comidas
measurement	medicion[Noun]
meat	la carne
meatball	alb"o/"ndigas[Noun]
medal	la medalla
medicine	la medicina
medieval	medieval[Adjective]
meditate	meditar[Verb]
meditation	meditacio/n[Noun]
meditations	meditaciones[Noun]
medium	intermedio[Adjective]
medium	mediano[Adjective]
medium	medio[Noun]
mediums	medios[Noun]
medley	baturrillo[Noun]
medley	mezcla[Noun]
medley	mezcolanza[Noun]
medleys	baturrillos[Noun]
medleys	mezclas[Noun]
medleys	mezcolanzas[Noun]
meek	do/cil[Adjective]
meek	manso[Adjective]
meek	paciente[Adjective]
meekness	docilidad[Noun]
meekness	mansedumbre[Noun]
meet	encontrar[Verb]
meet	reunirse[Verb]
meet	ser presentado a[Verb]
meeting	encuentro[Noun]
meeting	reunio/n[Noun]
meetings	encuentros[Noun]
meetings	reuniones[Noun]
meets	encontra[Verb]
megabyte	mega-byte[Noun]
memory	la memoria
men	los hombres
message	el mensaje
metalize	shgfhg
mi	me
midnight	la medianoche
mile	la mila
milk	la leche
millennium	3012
minute	el minuto
mirror	el espejo
mischievous	travieso[Adjective]
miss	extran~ar[Verb]
mistake	la falta
mixture	la mezcla
modern	moderno
Monday	el lunes
money	el dinero
monkey	el mono
month	el mes
months	los meses[Noun]
mood	el humor
moon	la luna
mop	gerga[Noun]
mopper	trapeador[Noun]
mopping	trapear[Verb]
more	ma/s[Adjective]
moribund	moribundo
morning	man~ana[Noun]
mornings	man~anas[Noun]
morphologic	morfolo/gico[Adjective]
mortality	mortalidad[Noun]
mortally	mortalmente[Adverb]
mortals	mortales
mortgage	hipoteca[Noun]
mortgaged	hipotecado[Adjective]
mortgager	hipotecario
mortgages	hipotecas[Noun]
mother	la madre
mother	MADRE[Noun]
motion	MOVIMIENTO[Noun]
motionless	ESTATICO[Adjective]
motions	MOVIMIENTOS[Noun]
motivated	MOTIVADO[Adjective]
motivating	MOTIVANTE[Adjective]
motivation	MOTIVACION[Noun]
motor	MOTOR[Noun]
motorcycle	la motocicleta
mouse	laucha
mouse	rato/n
moustache	el bigote[Noun]
moustaches	los bigotes[Noun]
mouth	la boca
mouthwash	el enjuague
move	(household) mudarse[Verb]
move	mover(se)[Verb]
movement	el movimiento[Noun]
movements	los movimientos[Noun]
movie	la peli/cula[Noun]
movie theater	el cine
movies	el cine[Noun]
much	mucho
mud	el lodo
mud	el barro[Noun]
mulberry	la mora[Noun]
mule	la mula[Noun]
multiplication	la multiplicacio/n[Noun]
multiply	multiplicar[Verb]
multiplying	multiplicando[Verb]
multitude	la multitud[Noun]
multitudes	las multitudes[Noun]
munch	masticar[Verb]
municipal	municipal[Adjective]
municipalities	las municipalidades[Noun]
municipality	la municipalidad[Noun]
murder	asesinar
murder	el asesinato
murmur	murmurar[Verb]
muscle	el mu/sculo[Noun]
muscles	los mu/sculos[Noun]
muscular	muscular[Adjective]
museum	el museo
mushroom	el hongo[Noun]
music	la mu/sica[Noun]
musical	musical[Adjective]
musician	el mu/sico[Noun]
musicians	los mu/sicos[Noun]
musicologist	el musico/logo[Noun]
musicology	la musicologi/a[Noun]
mustache	el bigote
mustaches	los bigotes[Noun]
mustard	la mostaza
mutation	la mutacio/n[Noun]
mute	mudo, muda[Adjective]
mystery	el misterio
nail	el clavo
nail	un~a[Noun]
nails	clavos[Noun]
nails	un~as[Noun]
naive	ingenuo[Adjective]
naively	ingenuamente[Adverb]
naiveness	ingenuidad[Noun]
naked	desnudo[Adjective]
nakedly	desnudamente[Adverb]
nakedness	desnudez[Noun]
name	el nombre
names	michael
namesake	tocayo[Noun]
nanosecond	nanosegundo[Noun]
nanoseconds	nanosegundos[Noun]
nap	la siesta
napalm	napalm[Noun]
naphtha	nafta[Noun]
napkin	la servilleta
napkins	servilletas[Noun]
narcissism	narcisismo[Noun]
narcissist	narcisista[Adjective]
narcissist	narcisista[Noun]
narcissist	narcisista[Noun]
narcissistic	narcisista[Adjective]
narcissistic	narcisista[Adjective]
narcissus	narciso[Noun]
narcolepsy	narcolepsia[Noun]
narcolepsy	narcolepsia[Noun]
narcotic	narco/tico
narcotics	narco/ticos
narrate	narrar[Noun]
narrate	narrar[Verb]
narrated	narrado[Verb]
narration	narracio/n[Noun]
narrational	narrativo, narrativa[Adjective]
narrator	narrador[Noun]
narrow	estrecho
narrowing	estrechando[Adverb]
nasty	desagradable[Adjective]
nation	nacio/n[Noun]
national	nacional
nationalities	nacionalidades
nationality	nacionalidad
nationalization	nacionalizacio/n
nationalize	nacionalizar
natural	naturalis
naturalism	natu
nature	naturaleza[Noun]
near	cerca
nearby	cerca[Adjective]
nearby	cerca[Adverb]
neat	pulcro
necessary	necesario
neck	el cuello
necklace	el collar
necklaces	gargantillas
necktie	la corbata
nectar	nectar
need	necesitar
needle	la aguja
negation	negatio/n
negative	negativo
negotiable	negociable
negotiant	negociante
negotiate	negociar
negotiated	negociado
negotiates	negocia
negotiating	negociando
neighbor	el vecino
neighbor	la vecina[Noun]
neighborhood	el vecindario
neighborhoods	vecindades
nephew	el sobrino
nervous	nervioso
nest	el nido
net	la red[Noun]
never	nunca
nevertheless	no obstante
new	nuevo
newer	mas nuevo
newest	el mas nuevo
news	las noticias[Noun]
nice	amable
niece	la sobrina
night	la noche
nightmare	la pesadilla
nine	nueve
ninety	noventa
nipple	pezon
nipples	pezones
nobody	nadie
noise	el ruido
none	ninguno
north	el norte
nose	la nariz
notebook	cuaderno
notebook	el cuaderno
notebooks	cuadernos
nothing	nada
notice	notar[Verb]
notice	prestar atencio/n[Verb]
noticeable	conspicuo[Adjective]
noticeable	notable[Adjective]
noticing	notando
notification	notificacio/n
notifications	notificaciones
notified	notifico/
notion	idea[Noun]
notion	nocio/n[Noun]
notorious	infamo
notorious	notorio[Adjective]
notwithstanding	sin embargo[Adverb]
noun	el sustantivo
noun	nombre[Noun]
noun	substantivo
nourish	alimentar[Verb]
nourish	nutrir[Verb]
nourishing	alimenticio[Adjective]
nourishing	nutrivito[Adjective]
nourishment	nutrimento
nourishment	sustento[Noun]
novel	la novela
November	noviembre
now	ahora
nuance	matiz[Noun]
nuances	matices[Noun]
nurse	la enfermera
nystagmus	nova
o	or[Conjunction]
oaf	palurdo, patan, zoquete[Noun]
oak	roble
oaken	de roble[Adjective]
oaks	robles
oaks	Robles
oakwood	madera de roble
oar	remo
oars	remos
oasis	oasis
oat	avena
oatcake	Pastel de avena
oath	juramento
oaths	juramentos
oatmeal	avena
oats	avena
obbligato	obligado[Adjective]
obduracy	terquedad[Noun]
obdurate	terco[Adjective]
obdurately	tercamente[Adverb]
obedience	obediencia
obediences	obediencias
obedient	obediente
obediently	obedientemente
obelisk	obelisco
obese	gordo/gorda[Adjective]
obese	obeso/obesa
obese	obeso
obesity	obesidad
obey	obedecer
obeyed	obedecio[Verb]
obeying	obedeciendo[Verb]
